GO.ID	Term	Annotated	Significant	Expected	classicFisher
GO:0071577	zinc ion transmembrane transport	24	5	1.95	0.04039
GO:0071692	protein localization to extracellular re...	245	28	19.86	0.0407
GO:0030324	lung development	104	14	8.43	0.04103
GO:1903034	regulation of response to wounding	104	14	8.43	0.04103
GO:0016486	peptide hormone processing	32	6	2.59	0.04108
GO:0030593	neutrophil chemotaxis	32	6	2.59	0.04108
GO:0003310	pancreatic A cell differentiation	10	3	0.81	0.04141
GO:0009134	nucleoside diphosphate catabolic process	10	3	0.81	0.04141
GO:0014016	neuroblast differentiation	10	3	0.81	0.04141
GO:0031630	regulation of synaptic vesicle fusion to...	10	3	0.81	0.04141
GO:0042386	hemocyte differentiation	10	3	0.81	0.04141
GO:0042451	purine nucleoside biosynthetic process	10	3	0.81	0.04141
GO:0045610	regulation of hemocyte differentiation	10	3	0.81	0.04141
GO:0046058	cAMP metabolic process	10	3	0.81	0.04141
GO:0072488	ammonium transmembrane transport	10	3	0.81	0.04141
GO:1901632	regulation of synaptic vesicle membrane ...	10	3	0.81	0.04141
GO:1902455	negative regulation of stem cell populat...	10	3	0.81	0.04141
GO:2000178	negative regulation of neural precursor ...	10	3	0.81	0.04141
GO:2001013	epithelial cell proliferation involved i...	10	3	0.81	0.04141
GO:0048663	neuron fate commitment	49	8	3.97	0.04191
GO:0097530	granulocyte migration	49	8	3.97	0.04191
GO:0001823	mesonephros development	67	10	5.43	0.04261
GO:0006487	protein N-linked glycosylation	67	10	5.43	0.04261
GO:0072163	mesonephric epithelium development	67	10	5.43	0.04261
GO:0072164	mesonephric tubule development	67	10	5.43	0.04261
GO:0043393	regulation of protein binding	58	9	4.7	0.04269
GO:0009914	hormone transport	174	21	14.11	0.04283
GO:0009416	response to light stimulus	236	27	19.13	0.04335
GO:0040008	regulation of growth	342	37	27.73	0.04362
GO:0003353	positive regulation of cilium movement	17	4	1.38	0.04362
GO:0010996	response to auditory stimulus	17	4	1.38	0.04362
GO:0016266	O-glycan processing	17	4	1.38	0.04362
GO:0019370	leukotriene biosynthetic process	17	4	1.38	0.04362
GO:0019377	glycolipid catabolic process	17	4	1.38	0.04362
GO:0032094	response to food	17	4	1.38	0.04362
GO:0032885	regulation of polysaccharide biosyntheti...	17	4	1.38	0.04362
GO:0034390	smooth muscle cell apoptotic process	17	4	1.38	0.04362
GO:0035136	forelimb morphogenesis	17	4	1.38	0.04362
GO:0098703	calcium ion import across plasma membran...	17	4	1.38	0.04362
GO:1902093	positive regulation of flagellated sperm...	17	4	1.38	0.04362
GO:1990573	potassium ion import across plasma membr...	17	4	1.38	0.04362
GO:2000155	positive regulation of cilium-dependent ...	17	4	1.38	0.04362
GO:0090174	organelle membrane fusion	86	12	6.97	0.04422
GO:0051899	membrane depolarization	68	10	5.51	0.04648
GO:0021536	diencephalon development	50	8	4.05	0.04649
GO:0071230	cellular response to amino acid stimulus	50	8	4.05	0.04649
GO:1900271	regulation of long-term synaptic potenti...	50	8	4.05	0.04649
GO:0051647	nucleus localization	25	5	2.03	0.04724
GO:0120254	olefinic compound metabolic process	116	15	9.4	0.04781
GO:0050954	sensory perception of mechanical stimulu...	136	17	11.03	0.04846
GO:0009987	cellular process	11137	928	902.9	0.04938
GO:0042330	taxis	177	21	14.35	0.04994
